Compound,Date,Negative,Neutral,Positive,Screen_Name
0.5919,Sat Jun 09 22:12:00 +0000 2018,0.797,0.0,0.203,FoxNews
0.0,Sat Jun 09 22:09:43 +0000 2018,1.0,0.0,0.0,FoxNews
0.0,Sat Jun 09 22:05:43 +0000 2018,1.0,0.0,0.0,FoxNews
0.0,Sat Jun 09 21:59:10 +0000 2018,1.0,0.0,0.0,FoxNews
0.7351,Sat Jun 09 21:48:00 +0000 2018,0.763,0.0,0.237,FoxNews
0.0,Sat Jun 09 21:41:00 +0000 2018,1.0,0.0,0.0,FoxNews
0.0,Sat Jun 09 21:39:41 +0000 2018,1.0,0.0,0.0,FoxNews
0.0,Sat Jun 09 22:23:33 +0000 2018,1.0,0.0,0.0,NYT
0.4404,Sat Jun 09 22:21:34 +0000 2018,0.734,0.0,0.266,NYT
-0.6705,Sat Jun 09 22:05:33 +0000 2018,0.353,0.647,0.0,NYT
0.0,Sat Jun 09 21:48:34 +0000 2018,1.0,0.0,0.0,NYT
-0.6486,Sat Jun 09 21:47:33 +0000 2018,0.736,0.264,0.0,NYT
-0.4215,Sat Jun 09 21:30:34 +0000 2018,0.781,0.219,0.0,NYT
0.0,Sat Jun 09 20:09:33 +0000 2018,1.0,0.0,0.0,NYT
0.0,Sat Jun 09 20:08:33 +0000 2018,1.0,0.0,0.0,NYT
0.6597,Sat Jun 09 20:07:33 +0000 2018,0.345,0.138,0.517,NYT
0.0,Sat Jun 09 20:06:33 +0000 2018,1.0,0.0,0.0,NYT
-0.5423,Sat Jun 09 20:05:33 +0000 2018,0.741,0.259,0.0,NYT
0.0,Sat Jun 09 19:49:33 +0000 2018,1.0,0.0,0.0,NYT
0.0,Sat Jun 09 19:34:34 +0000 2018,1.0,0.0,0.0,NYT
0.0,Sat Jun 09 19:33:33 +0000 2018,1.0,0.0,0.0,NYT
0.3612,Sat Jun 09 18:53:34 +0000 2018,0.762,0.0,0.238,NYT
-0.2023,Sat Jun 09 18:52:33 +0000 2018,0.476,0.294,0.23,NYT
0.0,Sat Jun 09 18:51:33 +0000 2018,1.0,0.0,0.0,NYT
-0.296,Sat Jun 09 18:50:34 +0000 2018,0.82,0.18,0.0,NYT
0.0,Sat Jun 09 18:49:34 +0000 2018,1.0,0.0,0.0,NYT
0.2263,Sat Jun 09 18:48:33 +0000 2018,0.826,0.0,0.174,NYT
0.0,Sat Jun 09 20:04:00 +0000 2018,1.0,0.0,0.0,BBC
0.3612,Sat Jun 09 19:02:05 +0000 2018,0.878,0.0,0.122,BBC
0.0,Sat Jun 09 18:04:03 +0000 2018,1.0,0.0,0.0,BBC
0.5719,Sat Jun 09 17:01:05 +0000 2018,0.829,0.0,0.171,BBC
0.4019,Sat Jun 09 16:04:03 +0000 2018,0.623,0.156,0.222,BBC
-0.7783,Sat Jun 09 15:02:02 +0000 2018,0.673,0.327,0.0,BBC
0.7717,Sat Jun 09 14:04:02 +0000 2018,0.472,0.0,0.528,BBC
0.3612,Sat Jun 09 13:24:03 +0000 2018,0.815,0.0,0.185,BBC
0.0,Sat Jun 09 13:03:06 +0000 2018,1.0,0.0,0.0,BBC
0.0,Sat Jun 09 12:23:25 +0000 2018,1.0,0.0,0.0,BBC
0.9317,Sat Jun 09 12:03:00 +0000 2018,0.441,0.0,0.559,BBC
0.0,Sat Jun 09 11:10:52 +0000 2018,1.0,0.0,0.0,BBC
-0.7269,Sat Jun 09 11:04:08 +0000 2018,0.588,0.305,0.106,BBC
0.0,Sat Jun 09 10:10:06 +0000 2018,1.0,0.0,0.0,BBC
-0.6808,Sat Jun 09 10:09:40 +0000 2018,0.73,0.219,0.051,BBC
