Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
-0.2023,0.294,0.476,0.23,Sat Jun 09 18:52:33 +0000 2018,Op-Ed Columnist: Grim Trends in Good Times. https://t.co/0bCNhgpEV6,36,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 18:51:33 +0000 2018,"Vote For Me! For Second Place, at Least?. https://t.co/sPTWT8D6iQ",37,NYT
-0.296,0.18,0.82,0.0,Sat Jun 09 18:50:34 +0000 2018,Editorial Observer: African-Americans and the Strains of the National Anthem. https://t.co/IJyWRUYdVu,38,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 18:49:34 +0000 2018,How a Pediatrician Became a Detective. https://t.co/nX5miCIxJo,39,NYT
0.2263,0.0,0.826,0.174,Sat Jun 09 18:48:33 +0000 2018,Opinion: Turning Affluent Suburbs Blue Isn’t Worth the Cost. https://t.co/pGcdxe9mc7,40,NYT
-0.5423,0.412,0.588,0.0,Sat Jun 09 18:47:33 +0000 2018,The Resource Curse of Appalachia. https://t.co/qYD6lrmAu1,41,NYT
-0.1531,0.167,0.833,0.0,Sat Jun 09 18:46:33 +0000 2018,News Analysis: Miss America Gets to Dress Herself. https://t.co/Y4AYyGxWRe,42,NYT
-0.5994,0.281,0.719,0.0,Sat Jun 09 18:45:33 +0000 2018,International Court Throws Out War Crimes Conviction of Congolese Politician. https://t.co/GIKw5e03ge,43,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 18:44:34 +0000 2018,"Op-Ed Columnist: North Korea, Trump and Human Rights. https://t.co/bHs56ms1CG",44,NYT
0.4767,0.0,0.744,0.256,Sat Jun 09 18:43:34 +0000 2018,‘Tony Was a Symphony’: Friends and Fans Remember Anthony Bourdain. https://t.co/S95GanVxXZ,45,NYT
0.3612,0.0,0.815,0.185,Sat Jun 09 18:29:33 +0000 2018,"In Alternative World Cup, Would-be Nations Like Tibet Vie for Recognition. https://t.co/FxobIz9cQY",46,NYT
0.5106,0.0,0.798,0.202,Sat Jun 09 18:28:33 +0000 2018,Postcards From the French Open: Cheering John McEnroe in Paris Never Gets Old. https://t.co/Oft1MDBDo9,47,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 18:13:33 +0000 2018,"In Newark, Police Cameras, and the Internet, Watch You. https://t.co/ficLp0JRMs",48,NYT
0.5859,0.0,0.743,0.257,Sat Jun 09 17:59:33 +0000 2018,"A Visa Lottery Winner a Decade Ago, a U.S. Soldier Returns Home to Lithuania. https://t.co/RuLdmBpY2M",49,NYT
-0.4019,0.213,0.787,0.0,Sat Jun 09 17:43:33 +0000 2018,"In the Trump Administration, Science Is Unwelcome. So Is Advice.. https://t.co/RlCMzjvIuk",50,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 17:42:33 +0000 2018,Keeping Score: The Warriors Were Dominant. But How Dominant?. https://t.co/yZHNDtPFXz,51,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 17:28:33 +0000 2018,Malaysia Steps Up $4.5 Billion Corruption Inquiry. https://t.co/Jv0FFihc2E,52,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 16:25:33 +0000 2018,The World Cup Isn’t About Football. It’s About Everything.. https://t.co/0RekCENiXZ,53,NYT
-0.3818,0.178,0.822,0.0,Sat Jun 09 16:10:33 +0000 2018,Extra bases: How the Mariners Found Their Way After Losing Robinson Cano. https://t.co/7caUvrrmgH,54,NYT
0.6705,0.0,0.593,0.407,Sat Jun 09 16:09:33 +0000 2018,Turkish Opposition Hopes 4 Parties Are Mightier Than 1 Against Erdogan. https://t.co/itXkghsggc,55,NYT
0.5106,0.0,0.68,0.32,Sat Jun 09 15:56:33 +0000 2018,Trump Displays Confidence About North Korea Talks. https://t.co/d40Av07qZb,56,NYT
0.34,0.0,0.806,0.194,Sat Jun 09 15:55:33 +0000 2018,Contributing Op-Ed Writer: The Secret Life and Value of Trees. https://t.co/M6PKuRDiIS,57,NYT
-0.836,0.467,0.533,0.0,Sat Jun 09 15:54:34 +0000 2018,Sorrow and Questions in a French Village After Anthony Bourdain’s Suicide. https://t.co/WLnVwoJWq1,58,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 15:43:33 +0000 2018,Trump Invitation to Russia Deepens Rift With America’s Allies. https://t.co/xpCzJPjALf,59,NYT
-0.296,0.155,0.845,0.0,Sat Jun 09 15:42:33 +0000 2018,Trump Says U.S. Will No Longer Be ‘Piggy Bank That Everybody’s Robbing’. https://t.co/pk08R5Et7C,60,NYT
-0.296,0.167,0.833,0.0,Sat Jun 09 15:41:33 +0000 2018,No Need to Prepare to Meet Kim Jong-un? Trump Has a Point. https://t.co/Z6qBSTHLrx,61,NYT
-0.4588,0.2,0.8,0.0,Sat Jun 09 15:24:33 +0000 2018,"Simona Halep Breaks Through, Beating Sloane Stephens for the French Open Title. https://t.co/FXZcsO2uvf",62,NYT
0.5574,0.0,0.714,0.286,Sat Jun 09 15:10:33 +0000 2018,Who Will Pick Up the Supreme Leader’s Hotel Tab?. https://t.co/ivFktstJj8,63,NYT
0.4939,0.0,0.686,0.314,Sat Jun 09 15:09:33 +0000 2018,Sporting: The Distinct Joys of Clay-Court Tennis. https://t.co/GAsr50PgaO,64,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 14:55:33 +0000 2018,Mini-Vows: They Hit It Off During a Surgical Consultation. https://t.co/SZwfDHH2wh,65,NYT
0.3182,0.0,0.777,0.223,Sat Jun 09 14:54:33 +0000 2018,"Mini-Vows: A Sense of Adventure, Whether Near or Far. https://t.co/qxnXjrvyC8",66,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 14:53:34 +0000 2018,Mini-Vows: The Heart Just Grew Fonder When He Was in the Middle East. https://t.co/1EVqIZOXTm,67,NYT
-0.296,0.136,0.864,0.0,Sat Jun 09 11:23:33 +0000 2018,Pope Tells Oil Executives to Act on Climate: ‘There Is No Time to Lose’. https://t.co/My6lkIY8VE,68,NYT
-0.7717,0.427,0.573,0.0,Sat Jun 09 10:51:33 +0000 2018,"Mark Zuckerberg, Elon Musk and the Feud Over Killer Robots. https://t.co/CDaPcICz9B",69,NYT
-0.4939,0.314,0.686,0.0,Sat Jun 09 10:23:33 +0000 2018,Nonfiction: How Christians Destroyed the Ancient World. https://t.co/fbO03q93Kl,70,NYT
0.5267,0.087,0.652,0.261,Sat Jun 09 10:22:33 +0000 2018,atmosphere: The Rich Are Planning to Leave This Wretched Planet. https://t.co/0JPpaRY0Ww,71,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:21:33 +0000 2018,"Check In: At a London Hotel, Art Deco Design and Stylish Cocktails. https://t.co/OMgzsazBDB",72,NYT
-0.1027,0.149,0.851,0.0,Sat Jun 09 10:20:33 +0000 2018,U.N. Imposes Sanctions on 6 for Trafficking Libyan Migrants. https://t.co/5YoVQx7a6c,73,NYT
-0.1779,0.108,0.892,0.0,Sat Jun 09 10:15:33 +0000 2018,"Playlist: The Playlist: Kanye West’s Breakout Star 070 Shake, and 10 More New Songs. https://t.co/b64ANwR65I",74,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:14:33 +0000 2018,Review: Pulled Apart by ‘Love and Intrigue’. https://t.co/1vKc88r9PF,75,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:13:33 +0000 2018,"To Conduct Its Parks Concerts, the Philharmonic Taps a Rising Star. https://t.co/qpkJD96dI7",76,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:12:33 +0000 2018,The Shortlist: 3 New Novels on the Perils of Digital Life. https://t.co/v1ymR7XOJ7,77,NYT
0.0258,0.237,0.52,0.243,Sat Jun 09 10:11:33 +0000 2018,"The Best, Worst and Scariest of This Week’s Movie Trailers. https://t.co/H3HIuUOI2R",78,NYT
0.5267,0.0,0.673,0.327,Sat Jun 09 10:10:33 +0000 2018,The Poetic Justice of Stella Abrera’s Juliet. https://t.co/nsLltMMcHa,79,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:09:33 +0000 2018,Critic’s Notebook: High School Musicians Take On the (Almost) Unplayable. https://t.co/9h0U5cY96U,80,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:08:33 +0000 2018,Lisa Edelstein Says Goodbye to Her ‘Girlfriends’. https://t.co/q3MLUdhG3G,81,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:07:33 +0000 2018,"A Word With: Kevin Costner Revisits the American West, Now by Helicopter. https://t.co/WhXKfYy7B4",82,NYT
0.6486,0.0,0.629,0.371,Sat Jun 09 10:06:33 +0000 2018,Streaming: ‘Caravaggio’ and Other Pleasures and Provocations for Pride Month. https://t.co/YJStl7KRnI,83,NYT
0.6369,0.0,0.588,0.412,Sat Jun 09 10:05:33 +0000 2018,11 of Our Best Weekend Reads. https://t.co/lr52XIngj5,84,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:04:33 +0000 2018,"Art Is Becoming a Financial Product, and Blockchain Is Making It Happen. https://t.co/0hpbf8V7ME",85,NYT
-0.4215,0.226,0.774,0.0,Sat Jun 09 10:03:33 +0000 2018,"RuPaul’s Drag Race: ‘RuPaul’s Drag Race’ Season 10, Episode 11 Recap: Just Don’t Stare. https://t.co/57dkxvXNch",86,NYT
-0.1531,0.11,0.89,0.0,Sat Jun 09 10:02:33 +0000 2018,‘You Have to Be Girl-Power Tough’: Pageant Competitors Weigh in on Miss America. https://t.co/g7rk3Fdf2J,87,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 10:01:33 +0000 2018,"This Week: Philharmonic Concerts in the Parks, Summer Jam, Alvin Ailey. https://t.co/WBNhlb5cLc",88,NYT
0.5859,0.0,0.648,0.352,Sat Jun 09 10:00:33 +0000 2018,He Literally Wrote the Book on Fabulousness. https://t.co/kakzT5i1K9,89,NYT
