Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
-0.7906,Thu Jun 07 14:04:02 +0000 2018,0.741,0.259,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🐍 A Texan required 26 doses of anti-venom after he was bitten by the severed head of a rattlesnake he had killed.
👉… https://t.co/zdD1aO7POz",67
-0.4588,Thu Jun 07 13:00:43 +0000 2018,0.862,0.138,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBC_ARoadshow: 'We did it for all women' - 50 years after they walked out the Dagenham women say the fight for equal pay must go on #An…,68
0.2263,Thu Jun 07 13:00:26 +0000 2018,0.921,0.0,0.079,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎞🎬 From the Jurassic World sequel to an Oscar Wilde biopic, these films are worth making a trip to the cinema for t… https://t.co/PODFpM3UOq",69
-0.5574,Thu Jun 07 12:01:05 +0000 2018,0.659,0.242,0.099,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","👊💕 If you've ever been touched by cancer, Julie's message will be important. 
https://t.co/L7Ebn2c0Ed",70
0.6531,Thu Jun 07 11:46:22 +0000 2018,0.733,0.052,0.215,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCEarth: Are you obsessed with the ocean? 🌊
Do you go wild for whales? 🐋
Want to share your passion for presenting with the world?
Ent…",71
0.7003,Thu Jun 07 11:01:05 +0000 2018,0.784,0.0,0.216,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",💕🐮 Cow cuddling is the new wellness trend coming to a field near you and it's guaranteed to put you in a good moooo… https://t.co/8DJNABgCFc,72
0.0,Thu Jun 07 09:37:40 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Little girls don’t stay little forever. https://t.co/3yThJBbcUs,73
0.3612,Thu Jun 07 08:01:03 +0000 2018,0.828,0.0,0.172,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",What it's like to find out you were adopted at age 49. https://t.co/Fl1LZJOMKZ,74
0.3182,Thu Jun 07 07:28:01 +0000 2018,0.892,0.0,0.108,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The original illustrated map of The Hundred Acre Wood is expected to fetch between £100,000 - £150,000 when it goes… https://t.co/FVle3m5MCh",75
0.5106,Thu Jun 07 07:01:05 +0000 2018,0.732,0.0,0.268,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",❤️🐶 Some heroes don't wear capes - they wear collars. https://t.co/0YF9EdnfL1,76
0.0,Wed Jun 06 20:44:01 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Tonight, award-winning writer Jeanette Winterson asks what we can learn from the Suffragette movement of a century… https://t.co/K9P2GuRy7X",77
0.3818,Wed Jun 06 20:04:00 +0000 2018,0.86,0.0,0.14,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Comedian @JordBrookes joins @SusanCalman for #MrsBrightside - her brand new podcast about mental health from the po… https://t.co/nIvQ5c2NNT,78
0.0,Wed Jun 06 19:03:03 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Tonight, #OurGirl actress @michkeegan uncovers some exceptional women on her family tree. 🙋💕

Who Do You Think You… https://t.co/HDwdTyTqIw",79
0.1779,Wed Jun 06 18:03:04 +0000 2018,0.718,0.122,0.16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M,80
0.0,Wed Jun 06 17:02:09 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","74 years on from D-Day, these infrared photos show WW2 bunkers in new light. 📷 
https://t.co/Dn2XKQ5jtZ https://t.co/Rqm91pIfj4",81
0.0,Wed Jun 06 16:00:01 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","There are more than 110,000 gang members in Honduras and they're tearing the country apart. https://t.co/ZF9M0iAvzb",82
0.3182,Wed Jun 06 13:02:05 +0000 2018,0.892,0.0,0.108,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",From a French novel about the Burundi genocide to a Chilean mystery: add these titles to your book shelf this month… https://t.co/T9AG8kvoPG,83
